"REF_DATE","GEO","DGUID","Traveller characteristics","Traveller type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-03","Moncton","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296964618","41.42.1","1529","","p","","0"
"2025-03","Moncton","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296964619","41.42.2","54","","p","","0"
"2025-03","Moncton","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296964620","41.42.3","1475","","p","","0"
"2025-03","Saint John","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296964850","42.41.1","848","","p","","0"
"2025-03","Saint John","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296964851","42.41.2","194","","p","","0"
"2025-03","Saint John","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296964852","42.41.3","654","","p","","0"
"2025-03","Saint John","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296964853","42.42.1","830","","p","","0"
"2025-03","Saint John","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296964854","42.42.2","194","","p","","0"
"2025-03","Saint John","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296964855","42.42.3","636","","p","","0"
"2025-03","St. Croix","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296965320","44.41.1","545","","p","","0"
"2025-03","St. Croix","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296965321","44.41.2","440","","p","","0"
"2025-03","St. Croix","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296965322","44.41.3","105","","p","","0"
"2025-03","St. Croix","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296965323","44.42.1","545","","p","","0"
"2025-03","St. Croix","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296965324","44.42.2","440","","p","","0"
"2025-03","St. Croix","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296965325","44.42.3","105","","p","","0"
"2025-03","St. Stephen - 3rd Bridge","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296965555","45.41.1","9372","","p","","0"
"2025-03","St. Stephen - 3rd Bridge","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296965556","45.41.2","2279","","p","","0"
"2025-03","St. Stephen - 3rd Bridge","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296965557","45.41.3","7093","","p","","0"
"2025-03","St. Stephen - 3rd Bridge","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296965558","45.42.1","9372","","p","","0"
